시도명,시군구명,0~5,6~10,11~15,16~20,21~25,26~30,31~35,36~40,41~45,46~50,51~55,56~60,61~65,66~70,71~75,76~80,81~85,86~90,91~95,96~100,101~105,106~110
강원특별자치도,강릉시,12.0,10.0,22.0,252.0,2390.0,3500.0,2570.0,2032.0,2561.0,2870.0,3869.0,4344.0,5432.0,4869.0,3369.0,3063.0,2824.0,1583.0,542.0,127.0,18.0,1.0
강원특별자치도,고성군,0.0,0.0,1.0,18.0,315.0,491.0,347.0,286.0,366.0,443.0,748.0,912.0,1073.0,932.0,642.0,633.0,607.0,329.0,106.0,29.0,6.0,1.0
강원특별자치도,동해시,2.0,2.0,8.0,69.0,552.0,1240.0,1027.0,767.0,1017.0,1364.0,1837.0,1936.0,2283.0,2085.0,1409.0,1314.0,1137.0,643.0,203.0,27.0,7.0,0.0
강원특별자치도,삼척시,1.0,0.0,3.0,687.0,1568.0,730.0,605.0,454.0,685.0,941.0,1408.0,1712.0,2104.0,1783.0,1350.0,1158.0,1238.0,744.0,261.0,47.0,9.0,0.0
강원특별자치도,속초시,1.0,2.0,7.0,32.0,422.0,1225.0,1183.0,852.0,1044.0,1250.0,1868.0,2118.0,2438.0,2170.0,1316.0,1158.0,970.0,488.0,166.0,48.0,1.0,0.0
강원특별자치도,양구군,0.0,1.0,1.0,20.0,398.0,468.0,277.0,165.0,180.0,241.0,351.0,495.0,619.0,502.0,319.0,298.0,339.0,172.0,59.0,10.0,1.0,0.0
강원특별자치도,양양군,0.0,0.0,1.0,8.0,145.0,326.0,272.0,268.0,394.0,434.0,637.0,835.0,1036.0,984.0,626.0,577.0,553.0,311.0,105.0,38.0,4.0,1.0
강원특별자치도,영월군,0.0,0.0,8.0,267.0,319.0,391.0,351.0,317.0,422.0,563.0,1034.0,1341.0,1725.0,1407.0,964.0,859.0,862.0,456.0,167.0,25.0,3.0,0.0
강원특별자치도,원주시,4.0,20.0,29.0,521.0,4358.0,7766.0,6463.0,4274.0,4754.0,4645.0,6455.0,6980.0,7973.0,6561.0,3830.0,3145.0,3093.0,1874.0,619.0,123.0,17.0,1.0
강원특별자치도,인제군,0.0,0.0,0.0,36.0,786.0,1024.0,530.0,314.0,393.0,454.0,628.0,811.0,1021.0,846.0,510.0,386.0,419.0,234.0,71.0,20.0,3.0,0.0
강원특별자치도,정선군,0.0,1.0,4.0,16.0,123.0,329.0,340.0,347.0,507.0,647.0,984.0,1259.0,1530.0,1379.0,898.0,778.0,708.0,331.0,107.0,33.0,4.0,2.0
강원특별자치도,철원군,0.0,2.0,0.0,13.0,522.0,863.0,540.0,316.0,399.0,447.0,716.0,847.0,1123.0,985.0,638.0,713.0,697.0,348.0,103.0,32.0,4.0,0.0
강원특별자치도,춘천시,4.0,7.0,12.0,1069.0,6046.0,6442.0,4846.0,3014.0,3019.0,3098.0,4276.0,4804.0,5775.0,5136.0,3130.0,2902.0,2930.0,1836.0,520.0,132.0,16.0,0.0
강원특별자치도,태백시,2.0,0.0,1.0,94.0,173.0,434.0,397.0,343.0,478.0,629.0,891.0,977.0,1253.0,1248.0,974.0,816.0,718.0,378.0,93.0,17.0,2.0,0.0
